id,common_name,botanical_name,growth_shape,growing_season_months,flowering_season_months,flower_color,foliage_color_spring,foliage_color_summer,foliage_color_fall,foliage_color_winter,sun_pref,water_pref,soil_pref,width_ft,height_ft,inflorescence,flower_count_hint,flower_zone,fruit_color,fruit_season_months,fruit_load,usda_symbol,usda_scientific_name_full,usda_growth_habit,usda_native_status,usda_growth_form,usda_shape_and_orientation,usda_foliage_texture,usda_foliage_porosity_summer,usda_foliage_porosity_winter,usda_leaf_retention,usda_flower_conspicuous,usda_fruit_conspicuous,usda_fall_conspicuous,usda_bloom_period,usda_active_growth_period,usda_fruit_seed_period_begin,usda_fruit_seed_period_end,usda_height_mature_ft,usda_shade_tolerance,usda_drought_tolerance,usda_moisture_use,usda_soil_coarse,usda_soil_medium,usda_soil_fine,usda_ph_min,usda_ph_max,npsot_dfw_recommended
carolina-elephantsfoot,Carolina elephantsfoot,Elephantopus carolinianus,mound,6-8,7,#8f6fb3,,,,,full-sun,medium,"sandy,loamy,clay",,2.7,,,,#6b5a4a,6-11,moderate,ELCA3,Elephantopus carolinianus Raeusch.,Forb/herb,L48:N,Single Crown,Erect,Coarse,Moderate,Porous,No,Yes,No,No,Mid Summer,Summer,Summer,Fall,2.7,High,Medium,Medium,Yes,Yes,Yes,5.0,7.2,no
canada-wildrye,Canada wildrye,Elymus canadensis,grass,3-11,5,#e8d24a,,#5b7a4b,,,shade,medium,"sandy,loamy,clay",,3,,,,#6b5a4a,3-8,moderate,ELCA4,Elymus canadensis L.,Graminoid,CAN:N|L48:N,Bunch,Erect,Coarse,Porous,Porous,No,No,No,No,Late Spring,"Spring, Summer, Fall",Spring,Summer,3.0,Low,Medium,Medium,Yes,Yes,Yes,5.0,7.9,yes
gulf-coast-spikerush,Gulf Coast spikerush,Eleocharis cellulosa,grass,3-11,7,#5b7a4b,,,,,full-sun,high,"sandy,loamy,clay",,2.6,,,,#6b5a4a,6-11,light,ELCE,Eleocharis cellulosa Torr.,Graminoid,L48:N|PR:N|VI:N,Bunch,Erect,,Porous,Porous,No,No,No,No,Mid Summer,"Spring, Summer, Fall",Summer,Fall,2.6,High,None,High,Yes,Yes,Yes,5.7,8.8,no
flatstem-spikerush,flatstem spikerush,Eleocharis compressa,grass,3-8,6,#5b7a4b,,,,,full-sun,high,"sandy,loamy",,2,,,,#6b5a4a,6-11,light,ELCO2,Eleocharis compressa Sull.,Graminoid,CAN:N|L48:N,Rhizomatous,Erect,,Porous,Porous,No,No,No,No,Early Summer,Spring and Summer,Summer,Fall,2.0,High,None,High,Yes,Yes,No,5.4,7.0,no
jointed-spikesedge,jointed spikesedge,Eleocharis equisetoides,grass,6-11,7,#5b7a4b,,,,,full-sun,high,"sandy,loamy,clay",,3.2,,,,#6b5a4a,6-11,light,ELEQ,Eleocharis equisetoides (Elliott) Torr.,Graminoid,CAN:N|L48:N,Bunch,Erect,,Porous,Porous,No,No,No,No,Mid Summer,Summer and Fall,Summer,Fall,3.2,High,None,High,Yes,Yes,Yes,5.0,7.0,no
blunt-spikerush,blunt spikerush,Eleocharis obtusa,grass,3-5,6-8,#e8d24a,,,,,full-sun,medium,"sandy,loamy,clay",,1.6,,,,#6b5a4a,3-11,moderate,ELOB2,Eleocharis obtusa (Willd.) Schult.,Graminoid,CAN:N|HI:N|L48:N,Rhizomatous,Erect,Fine,Moderate,Porous,No,No,No,No,Summer,Spring,Spring,Fall,1.6,High,Low,Medium,Yes,Yes,Yes,4.1,8.7,no
common-spikerush,common spikerush,Eleocharis palustris,grass,3-5,5,#6b5a4a,,,,,full-sun,high,"sandy,clay",,1.3,,,,#6b5a4a,9-8,moderate,ELPA3,Eleocharis palustris (L.) Roem. & Schult.,Graminoid,AK:N|CAN:N|GL:N|HI:I?|L48:N|SPM:N,Rhizomatous,Erect,Fine,Moderate,Porous,No,No,No,No,Late Spring,Spring,Fall,Summer,1.3,High,Low,High,Yes,No,Yes,4.0,8.0,no
dwarf-spikerush,dwarf spikerush,Eleocharis parvula,grass,6-11,7,#5b7a4b,,,,,full-sun,medium,"sandy,loamy,clay",,1.2,,,,#6b5a4a,6-11,light,ELPA5,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer",Graminoid,CAN:N|L48:N|SPM:N,Stoloniferous,Erect,,Porous,Porous,No,No,No,No,Mid Summer,Summer and Fall,Summer,Fall,1.2,High,None,Medium,Yes,Yes,Yes,6.0,8.0,no
squarestem-spikerush,squarestem spikerush,Eleocharis quadrangulata,grass,3-11,5,#5b7a4b,,,,,full-sun,high,"sandy,loamy,clay",,4,,,,#6b5a4a,6-11,light,ELQU,Eleocharis quadrangulata (Michx.) Roem. & Schult.,Graminoid,CAN:N|L48:N,Bunch,Erect,,Porous,Porous,No,No,No,No,Late Spring,"Spring, Summer, Fall",Summer,Fall,4.0,High,None,High,Yes,Yes,Yes,5.8,7.2,no
beaked-spikerush,beaked spikerush,Eleocharis rostellata,grass,3-11,5,#5b7a4b,,,,,full-sun,high,"sandy,loamy,clay",,3,,,,#6b5a4a,6-11,light,ELRO2,Eleocharis rostellata (Torr.) Torr.,Graminoid,CAN:N|L48:N|PR:N,Rhizomatous,Erect,,Porous,Porous,No,No,No,No,Late Spring,"Spring, Summer, Fall",Summer,Fall,3.0,High,None,High,Yes,Yes,Yes,6.0,8.0,no
slender-spikerush,slender spikerush,Eleocharis tenuis,grass,3-5,5,#6b5a4a,,,,,full-sun,low,"sandy,loamy,clay",,2.9,,,,#5b7a4b,3-11,moderate,ELTE,Eleocharis tenuis (Willd.) Schult.,Graminoid,CAN:N|L48:N,Rhizomatous,Erect,Fine,Moderate,Porous,No,No,No,No,Late Spring,Spring,Spring,Fall,2.9,High,Low,Low,Yes,Yes,Yes,6.2,7.0,no
virginia-wildrye,Virginia wildrye,Elymus virginicus,grass,3-5,3,#e8d24a,,#5b7a4b,,,shade,medium,"sandy,loamy,clay",,2.8,,,,#6b5a4a,3-8,moderate,ELVI3,Elymus virginicus L.,Graminoid,CAN:N|L48:N|SPM:N,Bunch,Erect,Coarse,Moderate,Porous,No,No,No,No,Early Spring,Spring,Spring,Summer,2.8,Low,Medium,Medium,Yes,Yes,Yes,5.0,7.4,no
engelmann-s-daisy,Engelmann's daisy,Engelmannia peristenia,mound,"3,4,5,9,10,11",3-5,#d98a3d,,#5b7a4b,,,full-sun,medium,"loamy,clay",,4,,,,#6b5a4a,3-8,light,ENPE4,Engelmannia peristenia (Raf.) Goodman & C.A. Lawson,Forb/herb,L48:N,Bunch,Erect,Coarse,Moderate,Porous,No,No,No,Yes,Spring,Spring and Fall,Spring,Summer,4.0,High,Medium,Medium,No,Yes,Yes,6.5,7.5,yes
smooth-horsetail,smooth horsetail,Equisetum laevigatum,mound,3-5,3,#5b7a4b,,#5b7a4b,,,full-sun,low,"loamy,clay",,5,,,,#6b5a4a,3-8,moderate,EQLA,Equisetum laevigatum A. Braun,Forb/herb,CAN:N|L48:N,Single Crown,Erect,,Porous,Porous,No,No,No,No,Early Spring,Spring,Spring,Summer,5.0,High,None,Low,No,Yes,Yes,4.5,6.5,no
tenangle-pipewort,tenangle pipewort,Eriocaulon decangulare,mound,3-5,3-5,#f1f1e2,,,,,full-sun,medium,"sandy,loamy",,2.6,,,,#6b5a4a,6-8,moderate,ERDE5,Eriocaulon decangulare L.,Forb/herb,L48:N,Bunch,Erect,Medium,Porous,Porous,No,No,Yes,No,Spring,Spring,Summer,Summer,2.6,High,Medium,Medium,Yes,Yes,No,4.0,7.6,no
teal-lovegrass,teal lovegrass,Eragrostis hypnoides,grass,3-5,6-8,#5b7a4b,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,0.3,,,,#e8d24a,6-11,moderate,ERHY,"Eragrostis hypnoides (Lam.) Britton, Sterns & Poggenb.",Graminoid,CAN:N|L48:N|PR:N,Bunch,Prostrate,Fine,Moderate,Porous,No,No,No,No,Summer,Spring,Summer,Fall,0.3,High,None,High,Yes,Yes,Yes,4.5,8.5,no
plains-lovegrass,plains lovegrass,Eragrostis intermedia,grass,6-8,5,#e8d24a,,#5b7a4b,,,full-sun,low,"sandy,loamy",,2.7,,,,#6b5a4a,6-8,moderate,ERIN,Eragrostis intermedia Hitchc.,Graminoid,L48:N,Bunch,Erect,Fine,Moderate,Porous,No,No,No,No,Late Spring,Summer,Summer,Summer,2.7,High,High,Low,Yes,Yes,No,5.7,7.8,no
philadelphia-fleabane,Philadelphia fleabane,Erigeron philadelphicus,mound,3-8,4,#f1f1e2,,#5b7a4b,,,part-sun,medium,"loamy,clay",,2.8,,,,#6b5a4a,3-8,heavy,ERPH,Erigeron philadelphicus L.,Forb/herb,CAN:N|L48:N,Stoloniferous,Semi-Erect,Medium,Porous,Porous,No,Yes,No,No,Mid Spring,Spring and Summer,Spring,Summer,2.8,Medium,Low,Medium,No,Yes,Yes,4.8,7.8,no
purple-lovegrass,purple lovegrass,Eragrostis spectabilis,grass,3-5,3-5,#5b7a4b,,#5b7a4b,,,full-sun,low,"sandy,loamy",,0.9,,,,#e8d24a,6-11,heavy,ERSP,Eragrostis spectabilis (Pursh) Steud.,Graminoid,CAN:I|L48:N,Rhizomatous,Erect,Fine,Porous,Porous,No,No,Yes,No,Spring,Spring,Summer,Fall,0.9,High,High,Low,Yes,Yes,No,4.0,7.5,no
prairie-fleabane,prairie fleabane,Erigeron strigosus,mound,3-8,5,#f1f1e2,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,3,,,,#6b5a4a,3-8,heavy,ERST3,Erigeron strigosus Muhl. ex Willd.,Forb/herb,CAN:N|L48:N,Single Crown,Erect,Medium,Porous,Porous,No,Yes,No,No,Late Spring,Spring and Summer,Spring,Summer,3.0,High,Medium,Medium,Yes,Yes,Yes,4.8,7.2,no
sand-lovegrass,sand lovegrass,Eragrostis trichodes,grass,6-11,8,#e8d24a,,#5b7a4b,,,full-sun,medium,sandy,,3.5,,,,#6b5a4a,6-11,heavy,ERTR3,Eragrostis trichodes (Nutt.) Alph. Wood,Graminoid,L48:N,Bunch,Erect,Medium,Dense,Porous,No,No,No,No,Late Summer,Summer and Fall,Summer,Fall,3.5,High,High,Medium,Yes,No,No,6.0,8.5,no
bastardsage,bastardsage,Eriogonum wrightii,mound,"3,4,5,9,10,11",6-8,#f1f1e2,,,,,part-sun,low,"sandy,loamy",,2,,,,#6b5a4a,9-11,moderate,ERWR,Eriogonum wrightii Torr. ex Benth.,Forb/herb,L48:N,Single Crown,Semi-Erect,Medium,Moderate,Porous,No,Yes,No,No,Summer,Spring and Fall,Fall,Fall,2.0,Medium,High,Low,Yes,Yes,No,6.0,8.0,no
california-poppy,California poppy,Eschscholzia californica,mound,3-11,5,#d98a3d,,#5b7a4b,,,part-sun,low,"loamy,clay",,1.2,,,,#6b5a4a,6-8,heavy,ESCA2,Eschscholzia californica Cham.,Forb/herb,AK:I|CAN:I|HI:I|L48:N,Single Crown,Erect,Medium,Porous,Porous,No,Yes,No,No,Late Spring,"Spring, Summer, Fall",Summer,Summer,1.2,Medium,Medium,Low,No,Yes,Yes,5.8,7.5,no
bursting-heart,bursting-heart,Euonymus americanus,mound,3-8,5,#5b7a4b,,,,,part-sun,high,"sandy,loamy,clay",,6,,,,#e8d24a,6-11,moderate,EUAM9,Euonymus americanus L.,Forb/herb,L48:N,Multiple Stem,Erect,Fine,Porous,Porous,No,No,Yes,Yes,Late Spring,Spring and Summer,Summer,Fall,6.0,Medium,None,High,Yes,Yes,Yes,5.0,6.0,no
burningbush-euat5,burningbush,Euonymus atropurpureus,vase,3-8,5,#8f6fb3,,,,,shade,low,"sandy,loamy,clay",,10,,,,#b3261e,9-11,moderate,EUAT5,Euonymus atropurpureus Jacq.,Shrub,CAN:N|L48:N,Multiple Stem,Erect,Coarse,Moderate,Porous,No,No,No,No,Late Spring,Spring and Summer,Fall,Fall,10.0,Low,Medium,Low,Yes,Yes,Yes,5.0,8.0,no
apache-plume,Apache plume,Fallugia paradoxa,vase,3-8,5,#8f6fb3,,,,,full-sun,low,"sandy,loamy",,6,,,,#6b5a4a,6-8,heavy,FAPA,Fallugia paradoxa (D. Don) Endl. ex Torr.,Shrub,L48:N,Multiple Stem,Irregular,Fine,Moderate,Moderate,Yes,Yes,Yes,No,Late Spring,Spring and Summer,Summer,Summer,6.0,High,High,Low,Yes,Yes,No,7.0,8.0,no
cliff-fendlerbush,cliff fendlerbush,Fendlera rupicola,vase,6-8,7,#f1f1e2,,#5b7a4b,,,full-sun,low,sandy,,6,,,,,6-11,light,FERU,Fendlera rupicola A. Gray,Shrub,L48:N,Multiple Stem,Erect,Fine,Moderate,Porous,Yes,Yes,No,No,Mid Summer,Summer,Summer,Fall,6.0,High,High,Low,Yes,No,No,7.0,8.5,no
nodding-fescue,nodding fescue,Festuca subverticillata,grass,3-8,5,#e8d24a,,#5b7a4b,,,part-sun,medium,"sandy,loamy",,3,,,,#6b5a4a,3-8,moderate,FESU3,Festuca subverticillata (Pers.) Alexeev,Graminoid,CAN:N|L48:N,Bunch,Erect,Fine,Porous,Porous,No,No,No,No,Late Spring,Spring and Summer,Spring,Summer,3.0,Medium,Low,Medium,Yes,Yes,No,5.5,7.2,no
eastern-swampprivet,eastern swampprivet,Forestiera acuminata,vase,6-8,3-5,#5b7a4b,,#5b7a4b,,,shade,high,"loamy,clay",,33,,,,#3a3a34,3-8,light,FOAC,Forestiera acuminata (Michx.) Poir.,Shrub,L48:N,Single Stem,Erect,Medium,Dense,Moderate,No,No,No,No,Spring,Summer,Spring,Summer,33.0,Low,Low,High,No,Yes,Yes,6.0,8.0,no
stretchberry,stretchberry,Forestiera pubescens var. pubescens,vase,3-8,3,#e8d24a,,,,,full-sun,medium,"sandy,loamy,clay",,6,,,,#3a3a34,6-8,moderate,FOPUP,Forestiera pubescens Nutt. var. pubescens,Shrub,L48:N,Bunch,Irregular,Fine,Moderate,Porous,No,No,Yes,Yes,Early Spring,Spring and Summer,Summer,Summer,6.0,High,Medium,Medium,Yes,Yes,Yes,7.0,8.5,yes
ocotillo,ocotillo,Fouquieria splendens,vase,"3,4,5,9,10,11",,#b3261e,,#5b7a4b,,,full-sun,low,sandy,,10,,,,#6b5a4a,6-11,moderate,FOSP2,Fouquieria splendens Engelm.,Shrub,L48:N,Multiple Stem,Erect,Fine,Porous,Porous,No,No,No,No,Indeterminate,Spring and Fall,Summer,Fall,10.0,High,High,Low,Yes,No,No,7.0,8.5,no
white-ash,white ash,Fraxinus americana,tree,3-8,4,#e8d24a,,#5b7a4b,,,full-sun,high,"sandy,loamy",,90,,,,#6b5a4a,6-11,heavy,FRAM2,Fraxinus americana L.,Tree,CAN:N|HI:I|L48:N,Single Stem,Erect,Fine,Dense,Porous,No,No,Yes,Yes,Mid Spring,Spring and Summer,Summer,Fall,90.0,High,Low,High,Yes,Yes,No,4.7,7.5,no
carolina-buckthorn,Carolina buckthorn,Frangula caroliniana,vase,,5,#e8d24a,,#5b7a4b,,,shade,low,"sandy,loamy,clay",,20,,,,#3a3a34,6-11,,FRCA13,Frangula caroliniana (Walter) A. Gray,Shrub,L48:N,Single Crown,Erect,Coarse,Moderate,Porous,No,No,No,No,Late Spring,,Summer,Fall,20.0,Low,Low,,Yes,Yes,Yes,6.0,7.5,yes
green-ash,green ash,Fraxinus pennsylvanica,tree,3-8,5,#5b7a4b,,,,,shade,medium,"sandy,loamy,clay",,80,,,,#6b5a4a,3-8,heavy,FRPE,Fraxinus pennsylvanica Marshall,Tree,CAN:N|L48:N,Single Crown,Irregular,Coarse,Dense,Moderate,No,Yes,No,Yes,Late Spring,Spring and Summer,Spring,Summer,80.0,Low,Medium,Medium,Yes,Yes,Yes,5.0,8.1,no
velvet-ash,velvet ash,Fraxinus velutina,tree,3-8,5,#e8d24a,,#5b7a4b,,,full-sun,low,clay,,40,,,,#6b5a4a,6-11,heavy,FRVE2,Fraxinus velutina Torr.,Tree,L48:N,Single Stem,Erect,Fine,Dense,Moderate,No,No,No,Yes,Late Spring,Spring and Summer,Summer,Fall,40.0,High,Medium,Low,No,No,Yes,5.8,7.5,no
stickywilly,stickywilly,Galium aparine,mound,3-5,4,#5b7a4b,,#5b7a4b,,,shade,high,"loamy,clay",,0.9,,,,#6b5a4a,3-5,moderate,GAAP2,Galium aparine L.,Forb/herb,AK:N|CAN:I|CAN:N|GL:I|L48:N,Single Crown,Decumbent,Coarse,Porous,Porous,No,No,No,No,Mid Spring,Spring,Spring,Spring,0.9,Low,None,High,No,Yes,Yes,5.4,7.2,no
bluntleaf-bedstraw,bluntleaf bedstraw,Galium obtusum,mound,3-8,4,#f1f1e2,,#5b7a4b,,,shade,high,"sandy,loamy,clay",,1.5,,,,#6b5a4a,3-8,heavy,GAOB,Galium obtusum Bigelow,Forb/herb,CAN:N|L48:N,Single Crown,Irregular,Fine,Moderate,Porous,No,Yes,No,No,Mid Spring,Spring and Summer,Spring,Summer,1.5,Low,None,High,Yes,Yes,Yes,4.6,7.0,no
indian-blanket,Indian blanket,Gaillardia pulchella,mound,3-11,,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,2,,,,#3a3a34,6-11,heavy,GAPU,Gaillardia pulchella Foug.,Forb/herb,AK:I|CAN:I|HI:I|L48:N|PB:I,Single Crown,Decumbent,Coarse,Dense,Porous,No,Yes,No,No,Indeterminate,"Spring, Summer, Fall",Summer,Fall,2.0,High,High,Medium,Yes,Yes,Yes,7.0,8.5,yes
stiff-marsh-bedstraw,stiff marsh bedstraw,Galium tinctorium,mound,3-8,5,#f1f1e2,,#5b7a4b,,,shade,high,"sandy,loamy,clay",,0.8,,,,#6b5a4a,6-8,heavy,GATI,Galium tinctorium (L.) Scop.,Forb/herb,CAN:N|L48:N|SPM:N,Single Crown,Decumbent,Fine,Porous,Porous,No,Yes,No,No,Late Spring,Spring and Summer,Summer,Summer,0.8,Low,None,High,Yes,Yes,Yes,4.6,7.0,no
wright-s-silktassel,Wright's silktassel,Garrya wrightii,vase,3-11,5,#f1f1e2,,#5b7a4b,,,full-sun,low,"sandy,loamy",,6,,,,#8f6fb3,6-11,heavy,GAWR3,Garrya wrightii Torr.,Shrub,L48:N,Multiple Stem,Semi-Erect,Coarse,Dense,Dense,Yes,No,Yes,Yes,Late Spring,"Spring, Summer, Fall",Summer,Fall,6.0,High,High,Low,Yes,Yes,No,6.5,8.8,no
white-avens,white avens,Geum canadense,mound,3-5,3-5,#f1f1e2,,#5b7a4b,,,shade,medium,"sandy,loamy,clay",,3.9,,,,#6b5a4a,6-11,light,GECA7,Geum canadense Jacq.,Forb/herb,CAN:N|L48:N,Single Stem,Erect,Medium,Porous,Porous,No,No,No,No,Spring,Spring,Summer,Fall,3.9,Low,Low,Medium,Yes,Yes,Yes,4.5,7.5,yes
water-locust,water locust,Gleditsia aquatica,vase,3-5,7,#5b7a4b,,#5b7a4b,,,part-sun,,"sandy,loamy,clay",,40,,,,#6b5a4a,9-12,light,GLAQ,Gleditsia aquatica Marshall,Shrub,L48:N,Single Stem,Erect,Fine,Moderate,Porous,No,No,No,No,Mid Summer,Spring,Fall,Winter,40.0,Medium,None,,Yes,Yes,Yes,6.0,8.0,no
fowl-mannagrass,fowl mannagrass,Glyceria striata,grass,3-5,6,#5b7a4b,,#5b7a4b,,,shade,medium,"loamy,clay",,5.7,,,,#b3261e,3-11,moderate,GLST,Glyceria striata (Lam.) Hitchc.,Graminoid,AK:N|CAN:N|L48:N|SPM:N,Rhizomatous,Semi-Erect,Fine,Moderate,Porous,No,No,No,No,Early Summer,Spring,Spring,Fall,5.7,Low,Low,Medium,No,Yes,Yes,4.0,8.0,no
honeylocust,honeylocust,Gleditsia triacanthos,vase,3-8,5,#e8d24a,,#5b7a4b,,,full-sun,medium,"loamy,clay",,70,,,,#5b7a4b,6-11,moderate,GLTR,Gleditsia triacanthos L.,Shrub,CAN:N|L48:N,Single Stem,Rounded,Medium,Moderate,Porous,No,No,Yes,Yes,Late Spring,Spring and Summer,Summer,Fall,70.0,High,High,Medium,No,Yes,Yes,5.0,8.0,no
broom-snakeweed,broom snakeweed,Gutierrezia sarothrae,mound,3-8,6,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,1.5,,,,#6b5a4a,6-11,moderate,GUSA2,Gutierrezia sarothrae (Pursh) Britton & Rusby,Forb/herb,CAN:N|L48:N,Single Crown,Erect,Coarse,Porous,Porous,No,No,Yes,No,Early Summer,Spring and Summer,Summer,Fall,1.5,High,High,Medium,Yes,Yes,Yes,6.0,8.0,no
kentucky-coffeetree,Kentucky coffeetree,Gymnocladus dioicus,tree,3-8,6,#f1f1e2,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,100,,,,#5b7a4b,9-5,moderate,GYDI,Gymnocladus dioicus (L.) K. Koch,Tree,CAN:N|L48:N,,Rounded,Coarse,Moderate,Porous,No,Yes,Yes,No,Early Summer,Spring and Summer,Fall,Spring,100.0,High,Medium,Medium,Yes,Yes,Yes,6.0,8.0,no
two-wing-silverbell,two-wing silverbell,Halesia diptera,vase,3-5,3-5,#f1f1e2,,#5b7a4b,,,part-sun,low,"loamy,clay",,15,,,,,,,HADI3,Halesia diptera Ellis,Shrub,L48:N,Single Stem,Erect,Coarse,Moderate,Porous,No,Yes,No,Yes,Spring,Spring,,,15.0,Medium,Low,,No,Yes,Yes,6.0,8.0,no
swamp-sunflower,swamp sunflower,Helianthus angustifolius,mound,3-8,8,#e8d24a,,,,,part-sun,medium,"sandy,loamy",,5.6,,,,#6b5a4a,6-11,moderate,HEAN2,Helianthus angustifolius L.,Forb/herb,L48:N,Rhizomatous,Erect,Medium,Moderate,Porous,No,Yes,No,Yes,Late Summer,Spring and Summer,Summer,Fall,5.6,Medium,Medium,Medium,Yes,Yes,No,4.0,7.0,no
common-sunflower,common sunflower,Helianthus annuus,mound,6-8,6-8,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,9,,,,#5b7ea3,6-11,heavy,HEAN3,Helianthus annuus L.,Forb/herb,AK:I|CAN:I|HI:I|L48:N|PR:I|SPM:I,Single Crown,Erect,Coarse,Porous,Moderate,No,Yes,Yes,Yes,Summer,Summer,Summer,Fall,9.0,High,Medium,Medium,Yes,Yes,Yes,5.5,7.8,no
common-sneezeweed,common sneezeweed,Helenium autumnale,mound,3-8,9-11,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,4.9,,,,#6b5a4a,9-11,moderate,HEAU,Helenium autumnale L.,Forb/herb,CAN:N|L48:N,Single Stem,Erect,Fine,Moderate,Porous,No,Yes,No,No,Fall,Spring and Summer,Fall,Fall,4.9,High,Low,Medium,Yes,Yes,Yes,4.0,7.5,no
tanglehead,tanglehead,Heteropogon contortus,grass,3-8,6,#e8d24a,,#5b7a4b,,,full-sun,low,"sandy,loamy",,0.7,,,,#6b5a4a,6-11,light,HECO10,Heteropogon contortus (L.) P. Beauv. ex Roem. & Schult.,Graminoid,HI:N|L48:N|PR:N|VI:N,Bunch,Erect,Medium,Moderate,Porous,No,No,No,No,Early Summer,Spring and Summer,Summer,Fall,0.7,High,High,Low,Yes,Yes,No,6.0,8.0,no
salt-heliotrope,salt heliotrope,Heliotropium curassavicum,mound,3-11,4,#f1f1e2,,,,,full-sun,medium,"loamy,clay",,1.2,,,,#6b5a4a,6-11,heavy,HECU3,Heliotropium curassavicum L.,Forb/herb,CAN:N|HI:N|L48:N|PR:N|VI:N,Rhizomatous,Decumbent,Coarse,Moderate,Porous,No,Yes,No,No,Mid Spring,"Spring, Summer, Fall",Summer,Fall,1.2,High,Medium,Medium,No,Yes,Yes,6.5,8.5,no
cucumberleaf-sunflower,cucumberleaf sunflower,Helianthus debilis,mound,3-8,6-8,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy",,0.5,,,,#6b5a4a,6-11,light,HEDE4,Helianthus debilis Nutt.,Forb/herb,L48:N,Stoloniferous,Prostrate,Coarse,Porous,Porous,No,Yes,No,Yes,Summer,Spring and Summer,Summer,Fall,0.5,High,Medium,Medium,Yes,Yes,No,5.2,7.2,no
purplehead-sneezeweed,purplehead sneezeweed,Helenium flexuosum,mound,3-5,6-8,#e8d24a,,#5b7a4b,,,full-sun,low,"sandy,loamy,clay",,3.2,,,,#6b5a4a,6-11,heavy,HEFL,Helenium flexuosum Raf.,Forb/herb,CAN:I|L48:N,Multiple Stem,Erect,Medium,Moderate,Porous,No,Yes,No,No,Summer,Spring,Summer,Fall,3.2,High,Medium,Low,Yes,Yes,Yes,4.5,7.5,no
sawtooth-sunflower,sawtooth sunflower,Helianthus grosseserratus,mound,3-11,8,#e8d24a,,,,,full-sun,medium,"sandy,loamy,clay",,5,,,,#6b5a4a,6-11,heavy,HEGR4,Helianthus grosseserratus M. Martens,Forb/herb,CAN:I|L48:N,Rhizomatous,Erect,Coarse,Moderate,Porous,No,Yes,No,Yes,Late Summer,"Spring, Summer, Fall",Summer,Fall,5.0,High,Medium,Medium,Yes,Yes,Yes,5.8,7.3,no
smooth-oxeye,smooth oxeye,Heliopsis helianthoides var. scabra,mound,3-8,6-8,#f1f1e2,,#5b7a4b,,,part-sun,low,"sandy,loamy",,4,,,,#6b5a4a,6-11,moderate,HEHES,Heliopsis helianthoides (L.) Sweet var. scabra (Dunal) Fernald,Forb/herb,CAN:N|L48:N,Single Crown,Erect,Coarse,Moderate,Porous,No,Yes,No,No,Summer,Spring and Summer,Summer,Fall,4.0,Medium,High,Low,Yes,Yes,No,5.6,6.8,no
maximilian-sunflower,Maximilian sunflower,Helianthus maximiliani,mound,6-11,8,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,5,,,,#6b5a4a,6-11,heavy,HEMA2,Helianthus maximiliani Schrad.,Forb/herb,CAN:N|L48:N,Rhizomatous,Erect,Coarse,Moderate,Porous,No,Yes,No,No,Late Summer,Summer and Fall,Summer,Fall,5.0,High,Medium,Medium,Yes,Yes,Yes,6.0,8.0,yes
jerusalem-artichoke,Jerusalem artichoke,Helianthus tuberosus,mound,3-8,8,#e8d24a,,,,,part-sun,low,"sandy,loamy",,9.8,,,,#6b5a4a,6-11,moderate,HETU,Helianthus tuberosus L.,Forb/herb,CAN:N|L48:N,Rhizomatous,Erect,Coarse,Dense,Porous,No,Yes,No,Yes,Late Summer,Spring and Summer,Summer,Fall,9.8,Medium,High,Low,Yes,Yes,No,4.0,7.0,no
hairy-false-goldenaster,hairy false goldenaster,Heterotheca villosa,mound,3-8,7,#e8d24a,,,,,full-sun,low,"sandy,loamy",,3,,,,#6b5a4a,6-11,moderate,HEVI4,Heterotheca villosa (Pursh) Shinners,Forb/herb,CAN:N|L48:N,Multiple Stem,Erect,Coarse,Moderate,Porous,No,Yes,No,No,Mid Summer,Spring and Summer,Summer,Fall,3.0,High,Medium,Low,Yes,Yes,No,6.0,7.5,no
curly-mesquite,curly-mesquite,Hilaria belangeri,grass,3-8,5,#e8d24a,,#5b7a4b,,,full-sun,low,"sandy,loamy,clay",,0.8,,,,#6b5a4a,6-8,light,HIBE,Hilaria belangeri (Steud.) Nash,Graminoid,L48:N,Stoloniferous,Semi-Erect,Fine,Moderate,Porous,No,No,No,No,Late Spring,Spring and Summer,Summer,Summer,0.8,High,High,Low,Yes,Yes,Yes,6.0,8.0,no
halberdleaf-rosemallow,halberdleaf rosemallow,Hibiscus laevis,mound,3-11,7,#8f6fb3,,#5b7a4b,,,part-sun,high,"loamy,clay",,8,,,,#6b5a4a,6-11,moderate,HILA2,Hibiscus laevis All.,Forb/herb,CAN:N|L48:N,Multiple Stem,Erect,Coarse,Moderate,Porous,No,Yes,No,No,Mid Summer,"Spring, Summer, Fall",Summer,Fall,8.0,Medium,Low,High,No,Yes,Yes,5.5,7.2,no
