id,common_name,botanical_name,growth_shape,growing_season_months,flowering_season_months,flower_color,foliage_color_spring,foliage_color_summer,foliage_color_fall,foliage_color_winter,sun_pref,water_pref,soil_pref,width_ft,height_ft,inflorescence,flower_count_hint,flower_zone,fruit_color,fruit_season_months,fruit_load,usda_symbol,usda_scientific_name_full,usda_growth_habit,usda_native_status,usda_growth_form,usda_shape_and_orientation,usda_foliage_texture,usda_foliage_porosity_summer,usda_foliage_porosity_winter,usda_leaf_retention,usda_flower_conspicuous,usda_fruit_conspicuous,usda_fall_conspicuous,usda_bloom_period,usda_active_growth_period,usda_fruit_seed_period_begin,usda_fruit_seed_period_end,usda_height_mature_ft,usda_shade_tolerance,usda_drought_tolerance,usda_moisture_use,usda_soil_coarse,usda_soil_medium,usda_soil_fine,usda_ph_min,usda_ph_max
new-jersey-tea,New Jersey tea,Ceanothus americanus,vase,3-8,5,#5b7ea3,,#5b7a4b,,,shade,low,"sandy,loamy",,3,,,,#6b5a4a,6-11,light,CEAM,Ceanothus americanus L.,Shrub,CAN:N|L48:N,Multiple Stem,Semi-Erect,Medium,Dense,Moderate,No,No,No,No,Late Spring,Spring and Summer,Summer,Fall,3.0,Low,High,Low,Yes,Yes,No,4.3,6.5
eastern-redbud,eastern redbud,Cercis canadensis,vase,3-8,3-5,#8f6fb3,,#5b7a4b,,,shade,low,"loamy,clay",,30,,,,#6b5a4a,3-8,moderate,CECA4,Cercis canadensis L.,Shrub,CAN:N|L48:N,Multiple Stem,Erect,Coarse,Moderate,Porous,No,Yes,Yes,No,Spring,Spring and Summer,Spring,Summer,30.0,Low,High,Low,No,Yes,Yes,5.0,7.9
texas-redbud,Texas redbud,Cercis canadensis var. texensis,vase,3-5,3,#b3261e,,,,,shade,low,"loamy,clay",,12,,,,#6b5a4a,6-11,heavy,CECAT,Cercis canadensis L. var. texensis (S. Watson) M. Hopkins,Shrub,L48:N,Multiple Stem,Rounded,Fine,Moderate,Porous,No,Yes,Yes,No,Early Spring,Spring,Summer,Fall,12.0,Low,High,Low,No,Yes,Yes,6.0,8.0
coon-s-tail,coon's tail,Ceratophyllum demersum,mound,6-8,6-8,#5b7ea3,,,,,part-sun,high,"sandy,loamy,clay",,,,,,#f1f1e2,6-11,light,CEDE4,Ceratophyllum demersum L.,Forb/herb,AK:N|CAN:N|HI:I|L48:N|PR:N|VI:N,Multiple Stem,Prostrate,Fine,Porous,Porous,No,No,No,No,Summer,Summer,Summer,Fall,,Medium,None,High,Yes,Yes,Yes,6.0,8.6
spiny-hackberry,spiny hackberry,Celtis ehrenbergiana,vase,6-11,3-5,#b3261e,,#5b7a4b,,,full-sun,low,"sandy,loamy",,10,,,,#6b5a4a,6-11,moderate,CEEH,Celtis ehrenbergiana (Klotzsch) Liebm.,Shrub,L48:N,Thicket Forming,Rounded,Medium,Moderate,Porous,No,No,Yes,No,Spring,Summer and Fall,Summer,Fall,10.0,High,High,Low,Yes,Yes,No,7.0,8.5
desert-ceanothus,desert ceanothus,Ceanothus greggii,vase,3-8,3,#5b7ea3,,,,,full-sun,low,"sandy,loamy,clay",,7,,,,#6b5a4a,3-5,moderate,CEGR,Ceanothus greggii A. Gray,Shrub,L48:N,Multiple Stem,Erect,Coarse,Moderate,Porous,Yes,Yes,Yes,No,Early Spring,Spring and Summer,Spring,Spring,7.0,High,High,Low,Yes,Yes,Yes,6.2,8.5
sugarberry,sugarberry,Celtis laevigata,vase,3-8,3,#5b7a4b,,#5b7a4b,,,shade,high,"loamy,clay",,80,,,,#d98a3d,6-11,heavy,CELA,Celtis laevigata Willd.,Shrub,L48:N,Single Stem,Erect,Medium,Moderate,Porous,No,No,No,Yes,Early Spring,Spring and Summer,Summer,Fall,80.0,Low,Low,High,No,Yes,Yes,4.4,7.7
netleaf-hackberry,netleaf hackberry,Celtis laevigata var. reticulata,vase,3-8,4,#5b7a4b,,#5b7a4b,,,full-sun,low,"sandy,loamy",,20,,,,#f1f1e2,3-11,heavy,CELAR,Celtis laevigata Willd. var. reticulata (Torr.) L.D. Benson,Shrub,L48:N,Multiple Stem,Erect,Medium,Porous,Porous,No,No,No,No,Mid Spring,Spring and Summer,Spring,Fall,20.0,High,High,Low,Yes,Yes,No,5.9,8.3
alderleaf-mountain-mahogany,alderleaf mountain mahogany,Cercocarpus montanus,vase,3-8,5,#f1f1e2,,#5b7a4b,,,part-sun,low,"sandy,loamy",,15,,,,#6b5a4a,6-11,moderate,CEMO2,Cercocarpus montanus Raf.,Shrub,L48:N,Multiple Stem,Erect,Coarse,Dense,Porous,No,No,No,No,Late Spring,Spring and Summer,Summer,Fall,15.0,Medium,High,Low,Yes,Yes,No,6.0,8.0
common-hackberry,common hackberry,Celtis occidentalis,vase,3-8,4,#5b7a4b,,#5b7a4b,,,shade,low,"sandy,loamy,clay",,60,,,,#8f6fb3,6-11,heavy,CEOC,Celtis occidentalis L.,Shrub,CAN:N|L48:N,Single Stem,Erect,Coarse,Dense,Porous,No,No,No,Yes,Mid Spring,Spring and Summer,Summer,Fall,60.0,Low,High,Low,Yes,Yes,Yes,6.0,8.0
common-buttonbush,common buttonbush,Cephalanthus occidentalis,vase,3-5,6-8,#f1f1e2,,#5b7a4b,,,shade,high,"sandy,loamy,clay",,15,,,,#f1f1e2,9-11,moderate,CEOC2,Cephalanthus occidentalis L.,Shrub,CAN:N|L48:N,Multiple Stem,Erect,Coarse,Moderate,Porous,No,Yes,Yes,No,Summer,Spring,Fall,Fall,15.0,Low,Medium,High,Yes,Yes,Yes,4.7,8.6
american-bittersweet,American bittersweet,Celastrus scandens,low-climber,3-8,3-5,#f1f1e2,,#5b7a4b,,,shade,high,"sandy,loamy,clay",,15,,,,#d98a3d,6-11,heavy,CESC,Celastrus scandens L.,Vine,CAN:N|L48:N,Thicket Forming,Columnar,Coarse,,,No,No,Yes,Yes,Spring,Spring and Summer,Summer,Fall,15.0,Low,Medium,High,Yes,Yes,Yes,5.0,7.5
mexican-orange,Mexican orange,Choisya dumosa,vase,3-11,5,#f1f1e2,,,,,full-sun,low,"sandy,loamy",,3,,,,#6b5a4a,6-11,,CHDU,Choisya dumosa (Torr.) A. Gray,Shrub,L48:N,Multiple Stem,Semi-Erect,Coarse,Dense,Dense,Yes,Yes,No,Yes,Late Spring,"Spring, Summer, Fall",Summer,Fall,3.0,High,High,Low,Yes,Yes,No,6.4,9.5
partridge-pea,partridge pea,Chamaecrista fasciculata,mound,3-5,6,#e8d24a,,#5b7a4b,,,shade,medium,"sandy,loamy",,2.4,,,,#6b5a4a,6-8,heavy,CHFA2,Chamaecrista fasciculata (Michx.) Greene,Forb/herb,L48:N,Bunch,Erect,Medium,Moderate,Porous,No,Yes,No,No,Early Summer,Spring,Summer,Summer,2.4,Low,Medium,Medium,Yes,Yes,No,6.5,7.5
rhodes-grass,Rhodes grass,Chloris gayana,grass,3-8,8,#f1f1e2,,#5b7a4b,,,full-sun,low,"loamy,clay",,3,,,,#6b5a4a,9-11,heavy,CHGA2,Chloris gayana Kunth,Graminoid,HI:I|L48:I|VI:I,Multiple Stem,Erect,Fine,Moderate,Porous,No,No,No,Yes,Late Summer,Spring and Summer,Fall,Fall,3.0,High,Medium,Low,No,Yes,Yes,5.0,7.0
indian-woodoats,Indian woodoats,Chasmanthium latifolium,grass,3-5,6-8,#5b7a4b,,#5b7a4b,,,shade,medium,"sandy,loamy,clay",,4.6,,,,#3a3a34,6-11,heavy,CHLA5,Chasmanthium latifolium (Michx.) Yates,Graminoid,L48:N,Rhizomatous,Erect,Fine,Porous,Porous,No,No,Yes,No,Summer,Spring,Summer,Fall,4.6,Low,Medium,Medium,Yes,Yes,Yes,5.0,7.0
slender-woodoats,slender woodoats,Chasmanthium laxum,grass,3-5,6-8,#5b7a4b,,#5b7a4b,,,shade,medium,"sandy,loamy,clay",,3.3,,,,#3a3a34,6-11,moderate,CHLA6,Chasmanthium laxum (L.) Yates,Graminoid,L48:N,Rhizomatous,Erect,Fine,Porous,Porous,No,No,No,No,Summer,Spring,Summer,Fall,3.3,Low,Medium,Medium,Yes,Yes,Yes,4.5,7.0
desert-willow,desert willow,Chilopsis linearis,vase,3-11,4,#8f6fb3,,,,,part-sun,low,"sandy,loamy",,25,,,,#6b5a4a,6-11,moderate,CHLI2,Chilopsis linearis (Cav.) Sweet,Shrub,L48:N,Multiple Stem,Erect,Medium,Moderate,Porous,No,Yes,Yes,No,Mid Spring,"Spring, Summer, Fall",Summer,Fall,25.0,Medium,High,Low,Yes,Yes,No,7.0,8.5
longleaf-woodoats,longleaf woodoats,Chasmanthium sessiliflorum,grass,3-8,8,#e8d24a,,#5b7a4b,,,full-sun,medium,"loamy,clay",,5,,,,#b3261e,6-11,moderate,CHSE2,Chasmanthium sessiliflorum (Poir.) Yates,Graminoid,L48:N,Rhizomatous,Erect,Medium,Porous,Porous,No,No,No,No,Late Summer,Spring and Summer,Summer,Fall,5.0,High,High,Medium,No,Yes,Yes,5.5,7.2
white-fringetree,white fringetree,Chionanthus virginicus,vase,3-8,4,#f1f1e2,,#5b7a4b,,,shade,high,"sandy,loamy",,25,,,,#5b7ea3,6-8,heavy,CHVI3,Chionanthus virginicus L.,Shrub,L48:N,Multiple Stem,Erect,Medium,Dense,Porous,No,Yes,Yes,No,Mid Spring,Spring and Summer,Summer,Summer,25.0,Low,Medium,High,Yes,Yes,No,4.5,6.5
sweet-woodreed,sweet woodreed,Cinna arundinacea,grass,3-5,6-8,#5b7a4b,,#5b7a4b,,,shade,low,"sandy,loamy,clay",,4.9,,,,#e8d24a,6-11,moderate,CIAR2,Cinna arundinacea L.,Graminoid,CAN:N|L48:N,Bunch,Erect,Medium,Moderate,Porous,No,No,No,No,Summer,Spring,Summer,Fall,4.9,Low,Low,Low,Yes,Yes,Yes,4.0,8.5
chicory,chicory,Cichorium intybus,mound,6-8,7,#5b7ea3,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,2,,,,#6b5a4a,6-11,moderate,CIIN,Cichorium intybus L.,Forb/herb,CAN:I|L48:I|SPM:I,Bunch,Erect,Coarse,Porous,Porous,No,Yes,No,No,Mid Summer,Summer,Summer,Fall,2.0,High,Medium,High,Yes,Yes,Yes,6.0,7.5
coastal-sweetpepperbush,coastal sweetpepperbush,Clethra alnifolia,vase,3-8,6-8,#f1f1e2,,#5b7a4b,,,part-sun,high,"sandy,loamy",,16,,,,#6b5a4a,6-11,light,CLAL3,Clethra alnifolia L.,Shrub,CAN:N|L48:N,Multiple Stem,Erect,Coarse,Moderate,Porous,No,No,Yes,No,Summer,Spring and Summer,Summer,Fall,16.0,Medium,Low,High,Yes,Yes,No,4.5,7.0
jamaica-swamp-sawgrass,Jamaica swamp sawgrass,Cladium mariscus ssp. jamaicense,grass,6-8,6-8,#5b7a4b,,,,,full-sun,medium,"sandy,loamy,clay",,8.2,,,,#6b5a4a,6-11,moderate,CLMAJ,Cladium mariscus (L.) Pohl ssp. jamaicense (Crantz) Kük.,Graminoid,HI:N|L48:N|PR:N,Bunch,Erect,Medium,Dense,Porous,No,No,No,No,Summer,Summer,Summer,Fall,8.2,High,Low,Medium,Yes,Yes,Yes,4.5,8.6
rocky-mountain-beeplant,Rocky Mountain beeplant,Cleome serrulata,mound,3-8,5,#b3261e,,#5b7a4b,,,part-sun,medium,"sandy,loamy",,3,,,,#3a3a34,6-8,heavy,CLSE,Cleome serrulata Pursh,Forb/herb,CAN:N|L48:N,Single Crown,Erect,Medium,Porous,Porous,No,Yes,No,No,Late Spring,Spring and Summer,Summer,Summer,3.0,Medium,Low,Medium,Yes,Yes,No,6.0,7.6
devil-s-darning-needles,devil's darning needles,Clematis virginiana,low-climber,3-8,7,#f1f1e2,,#5b7a4b,,,part-sun,medium,"loamy,clay",,15,,,,#3a3a34,6-11,light,CLVI5,Clematis virginiana L.,Vine,CAN:N|L48:N,Single Crown,Climbing,Coarse,Porous,Porous,No,Yes,No,No,Mid Summer,Spring and Summer,Summer,Fall,15.0,Medium,Medium,Medium,No,Yes,Yes,5.0,6.8
canadian-horseweed,Canadian horseweed,Conyza canadensis,mound,3-11,,#f1f1e2,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,5,,,,#6b5a4a,,heavy,COCA5,Conyza canadensis (L.) Cronquist,Forb/herb,AK:I|CAN:N|HI:I|L48:N|NAV:N|PB:I|PR:N|SPM:N|VI:N,Single Crown,Erect,Coarse,Porous,Porous,No,Yes,No,No,Indeterminate,"Spring, Summer, Fall",,,5.0,High,Low,Medium,Yes,Yes,Yes,4.8,7.2
blue-mistflower,blue mistflower,Conoclinium coelestinum,mound,6-8,6-8,#5b7ea3,,#5b7a4b,,,shade,medium,"loamy,clay",,3.2,,,,,6-11,moderate,COCO13,Conoclinium coelestinum (L.) DC.,Forb/herb,CAN:I|L48:N,Single Crown,Erect,Medium,Moderate,Moderate,No,No,No,Yes,Summer,Summer,Summer,Fall,3.2,Low,Medium,Medium,No,Yes,Yes,5.5,7.5
cylinder-jointtail-grass,cylinder jointtail grass,Coelorachis cylindrica,grass,3-5,6-8,#5b7a4b,,#5b7a4b,,,part-sun,low,"sandy,loamy,clay",,3.2,,,,#6b5a4a,6-11,light,COCY,Coelorachis cylindrica (Michx.) Nash,Graminoid,L48:N,Rhizomatous,Erect,Fine,Porous,Porous,No,No,No,No,Summer,Spring,Summer,Fall,3.2,Medium,High,Low,Yes,Yes,Yes,4.0,7.0
climbing-dayflower,climbing dayflower,Commelina diffusa,mound,6-8,6-8,#5b7ea3,,,,,shade,medium,"loamy,clay",,1,,,,#6b5a4a,6-11,moderate,CODI5,Commelina diffusa Burm. f.,Forb/herb,HI:I|L48:N|PB:I|PR:N|VI:N,Stoloniferous,Decumbent,Coarse,Porous,Porous,No,Yes,No,No,Summer,Summer,Summer,Fall,1.0,Low,Low,Medium,No,Yes,Yes,5.2,7.2
roughleaf-dogwood,roughleaf dogwood,Cornus drummondii,vase,3-8,4,#f1f1e2,,#5b7a4b,,,part-sun,low,"loamy,clay",,20,,,,#f1f1e2,6-11,moderate,CODR,Cornus drummondii C.A. Mey.,Shrub,CAN:N|L48:N,Multiple Stem,Erect,Medium,Dense,Porous,No,Yes,Yes,Yes,Mid Spring,Spring and Summer,Summer,Fall,20.0,Medium,Low,Low,No,Yes,Yes,4.5,7.5
flowering-dogwood,flowering dogwood,Cornus florida,vase,3-8,3,#f1f1e2,,#5b7a4b,,,shade,low,"sandy,loamy",,30,,,,#b3261e,3-11,moderate,COFL2,Cornus florida L.,Shrub,CAN:N|L48:N,Multiple Stem,Erect,Medium,Porous,Porous,No,Yes,Yes,Yes,Early Spring,Spring and Summer,Spring,Fall,30.0,Low,Low,Low,Yes,Yes,No,4.8,7.7
stiff-dogwood,stiff dogwood,Cornus foemina,vase,3-8,4,#f1f1e2,,#5b7a4b,,,part-sun,medium,"loamy,clay",,16,,,,#3a3a34,6-11,moderate,COFO,Cornus foemina Mill.,Shrub,L48:N,Thicket Forming,Erect,Fine,Moderate,Porous,No,Yes,Yes,Yes,Mid Spring,Spring and Summer,Summer,Fall,16.0,Medium,Low,Medium,No,Yes,Yes,5.8,7.2
lanceleaf-tickseed,lanceleaf tickseed,Coreopsis lanceolata,mound,3-8,8,#e8d24a,,#5b7a4b,,,full-sun,medium,"loamy,clay",,2,,,,#3a3a34,9-11,heavy,COLA5,Coreopsis lanceolata L.,Forb/herb,CAN:N|HI:I|L48:N|PB:I,Single Crown,Erect,Medium,Dense,Porous,No,Yes,Yes,Yes,Late Summer,Spring and Summer,Fall,Fall,2.0,High,Low,Medium,No,Yes,Yes,6.0,7.0
gray-dogwood,gray dogwood,Cornus racemosa,vase,3-8,5,#f1f1e2,,#5b7a4b,,,shade,medium,"loamy,clay",,10,,,,#6b5a4a,3-11,moderate,CORA6,Cornus racemosa Lam.,Shrub,CAN:N|L48:N,Rhizomatous,Erect,Coarse,Dense,Moderate,No,Yes,Yes,No,Late Spring,Spring and Summer,Spring,Fall,10.0,Low,Medium,Medium,No,Yes,Yes,4.8,7.4
wrinkled-jointtail-grass,wrinkled jointtail grass,Coelorachis rugosa,grass,3-8,8,#f1f1e2,,#5b7a4b,,,part-sun,medium,"loamy,clay",,2,,,,#6b5a4a,9-11,light,CORU3,Coelorachis rugosa (Nutt.) Nash,Graminoid,L48:N,Bunch,Erect,Fine,Moderate,Porous,No,No,No,No,Late Summer,Spring and Summer,Fall,Fall,2.0,Medium,Low,Medium,No,Yes,Yes,5.0,7.0
uruguayan-pampas-grass,Uruguayan pampas grass,Cortaderia selloana,grass,6-8,7,#e8d24a,,,,,full-sun,medium,"sandy,loamy,clay",,9,,,,#f1f1e2,6-11,light,COSE4,Cortaderia selloana (Schult. & Schult. f.) Asch. & Graebn.,Graminoid,L48:I,Bunch,Erect,Coarse,Dense,Moderate,No,No,Yes,Yes,Mid Summer,Summer,Summer,Fall,9.0,High,Low,Medium,Yes,Yes,Yes,4.9,7.4
golden-tickseed,golden tickseed,Coreopsis tinctoria,mound,3-8,5,#e8d24a,,#5b7a4b,,,part-sun,high,"loamy,clay",,3,,,,#6b5a4a,6-8,heavy,COTI3,Coreopsis tinctoria Nutt.,Forb/herb,CAN:N|HI:W|L48:N,Single Crown,Erect,Medium,Porous,Porous,No,Yes,No,No,Late Spring,Spring and Summer,Summer,Summer,3.0,Medium,Low,High,No,Yes,Yes,5.2,7.8
virginia-dayflower,Virginia dayflower,Commelina virginica,mound,6-11,7,#5b7ea3,,#5b7a4b,,,shade,medium,"loamy,clay",,3.5,,,,#b3261e,6-11,moderate,COVI3,Commelina virginica L.,Forb/herb,L48:N|PR:N,Rhizomatous,Erect,Medium,Moderate,Porous,No,Yes,No,No,Mid Summer,Summer and Fall,Summer,Fall,3.5,Low,Low,Medium,No,Yes,Yes,4.7,6.7
cockspur-hawthorn,cockspur hawthorn,Crataegus crus-galli,vase,3-8,5,#f1f1e2,,#5b7a4b,,,full-sun,low,"sandy,loamy,clay",,30,,,,#b3261e,6-11,heavy,CRCR2,Crataegus crus-galli L.,Shrub,CAN:N|L48:N,Single Stem,Erect,Medium,Dense,Moderate,No,Yes,Yes,Yes,Late Spring,Spring and Summer,Summer,Fall,30.0,High,High,Low,Yes,Yes,Yes,4.5,7.2
parsley-hawthorn,parsley hawthorn,Crataegus marshallii,vase,3-8,4,#f1f1e2,,#5b7a4b,,,shade,medium,"loamy,clay",,25,,,,#b3261e,6-11,moderate,CRMA5,Crataegus marshallii Eggl.,Shrub,L48:N,Single Stem,Erect,Medium,Moderate,Porous,No,Yes,Yes,Yes,Mid Spring,Spring and Summer,Summer,Fall,25.0,Low,Low,Medium,No,Yes,Yes,5.8,7.2
fiddleleaf-hawksbeard,fiddleleaf hawksbeard,Crepis runcinata,mound,6-8,5,#e8d24a,,#5b7a4b,,,full-sun,medium,"loamy,clay",,1,,,,#6b5a4a,6-8,heavy,CRRU3,Crepis runcinata (James) Torr. & A. Gray,Forb/herb,CAN:N|L48:N,Stoloniferous,Decumbent,Coarse,Porous,Porous,No,Yes,No,No,Late Spring,Summer,Summer,Summer,1.0,High,Low,Medium,No,Yes,Yes,6.5,9.5
showy-rattlebox,showy rattlebox,Crotalaria spectabilis,mound,3-11,7,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,5,,,,#3a3a34,6-11,heavy,CRSP2,Crotalaria spectabilis Roth,Forb/herb,HI:I|L48:I|PB:I|PR:I,Single Crown,Erect,Medium,Dense,Porous,No,Yes,Yes,Yes,Mid Summer,"Spring, Summer, Fall",Summer,Fall,5.0,High,Medium,Medium,Yes,Yes,Yes,4.9,8.0
spreading-alkaliweed,spreading alkaliweed,Cressa truxillensis,mound,6-8,5,#f1f1e2,,,,,full-sun,medium,"loamy,clay",,0.8,,,,#6b5a4a,6-8,moderate,CRTR5,Cressa truxillensis Kunth,Forb/herb,HI:I|L48:N,Single Crown,Decumbent,Coarse,Porous,Porous,No,Yes,No,No,Late Spring,Summer,Summer,Summer,0.8,High,Low,Medium,No,Yes,Yes,6.8,9.2
green-hawthorn,green hawthorn,Crataegus viridis,vase,3-8,3,#f1f1e2,,,,,full-sun,high,"loamy,clay",,30,,,,#b3261e,3-11,moderate,CRVI2,Crataegus viridis L.,Shrub,L48:N,Multiple Stem,Erect,Fine,Dense,Moderate,No,Yes,Yes,Yes,Early Spring,Spring and Summer,Spring,Fall,30.0,High,Low,High,No,Yes,Yes,4.3,7.3
missouri-gourd,Missouri gourd,Cucurbita foetidissima,mound,3-8,6-8,#e8d24a,,#5b7a4b,,,full-sun,low,"sandy,loamy,clay",,1,,,,#e8d24a,6-11,heavy,CUFO,Cucurbita foetidissima Kunth,Forb/herb,L48:N,Single Crown,Prostrate,Coarse,Porous,Porous,No,Yes,Yes,No,Summer,Spring and Summer,Summer,Fall,1.0,High,High,Low,Yes,Yes,Yes,7.0,8.8
